context_level,representation,outer_fold,best_C,inner_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1
L1,tfidf,1,1,0.5407121470133004,0.559,0.5589697922363216,0.5589697922363215
L1,tfidf,2,1,0.5420425548806133,0.569,0.5705240114428629,0.5705240114428628
L1,tfidf,3,1,0.544730449476332,0.566,0.5654812704850196,0.5654812704850195
L1,tfidf,4,1,0.5463810158585869,0.551,0.5515250912514708,0.5515250912514709
L1,tfidf,5,1,0.5418341469191187,0.561,0.5604710164959308,0.5604710164959307
L1,tfidf,6,1,0.542457048696667,0.5505,0.5506740359944294,0.5506740359944294
L1,tfidf,7,1,0.5466859094128633,0.566,0.5677189310354017,0.5677189310354017
L1,tfidf,8,1,0.5394898149027273,0.559,0.5584774926448806,0.5584774926448804
L1,tfidf,9,1,0.5415977586193649,0.571,0.570545227849446,0.570545227849446
L1,tfidf,10,1,0.5394930110636199,0.5675,0.5701399848281973,0.5701399848281973
L1,tfidf_pos,1,1,0.5412881864407936,0.5625,0.5625620419276931,0.5625620419276931
L1,tfidf_pos,2,1,0.5440014368510582,0.569,0.5709410492068463,0.5709410492068465
L1,tfidf_pos,3,1,0.5448655363092585,0.564,0.5641200810201954,0.5641200810201954
L1,tfidf_pos,4,1,0.545457079000634,0.5495,0.5508911418203668,0.5508911418203668
L1,tfidf_pos,5,1,0.5434126238329464,0.559,0.5588388623720457,0.5588388623720458
L1,tfidf_pos,6,1,0.5410050451867929,0.5525,0.5527331451475358,0.5527331451475358
L1,tfidf_pos,7,1,0.5465389868439181,0.565,0.5669087438685088,0.5669087438685088
L1,tfidf_pos,8,1,0.5408201851730297,0.566,0.565516347651803,0.5655163476518031
L1,tfidf_pos,9,1,0.5431639676257775,0.5755,0.5755508785102721,0.575550878510272
L1,tfidf_pos,10,1,0.5418993877055324,0.57,0.5733900811690885,0.5733900811690885
L2,tfidf,1,1,0.6760238846763897,0.6695,0.6712895672267225,0.6712895672267224
L2,tfidf,2,1,0.6716886923353057,0.7085,0.708723208632155,0.7087232086321551
L2,tfidf,3,1,0.6775858530492834,0.682,0.6818183682613177,0.6818183682613178
L2,tfidf,4,1,0.6765655435091323,0.692,0.6914128242522702,0.6914128242522705
L2,tfidf,5,1,0.6746996984224287,0.689,0.6905053657267429,0.6905053657267431
L2,tfidf,6,1,0.6785629217815555,0.6795,0.6791323494063848,0.6791323494063847
L2,tfidf,7,1,0.6735505806179418,0.6965,0.6964445907738738,0.6964445907738738
L2,tfidf,8,1,0.6709873464808734,0.702,0.7013291675195612,0.7013291675195612
L2,tfidf,9,1,0.674129069784426,0.6785,0.6784318820403261,0.6784318820403261
L2,tfidf,10,1,0.6756131520458473,0.699,0.699751574161098,0.699751574161098
L2,tfidf_pos,1,1,0.6761402393665236,0.6745,0.6764068883400395,0.6764068883400394
L2,tfidf_pos,2,1,0.6696523347197546,0.706,0.7076496172469884,0.7076496172469884
L2,tfidf_pos,3,1,0.6778987693077593,0.688,0.6876299283429361,0.6876299283429362
L2,tfidf_pos,4,1,0.6771746342685002,0.686,0.6859469926510727,0.6859469926510728
L2,tfidf_pos,5,1,0.6758282532590872,0.689,0.6912013658224394,0.6912013658224393
L2,tfidf_pos,6,1,0.6784262138336737,0.678,0.6788986422956078,0.6788986422956077
L2,tfidf_pos,7,1,0.6763722030057057,0.7035,0.7033746809449775,0.7033746809449775
L2,tfidf_pos,8,1,0.6733300126365084,0.6995,0.6994993086649028,0.6994993086649028
L2,tfidf_pos,9,1,0.6744633832085163,0.6805,0.6811885641939508,0.6811885641939508
L2,tfidf_pos,10,1,0.6726603476962044,0.6965,0.6976028015448283,0.6976028015448281
L3,tfidf,1,1,0.7069664249771778,0.71,0.7112665766290085,0.7112665766290085
L3,tfidf,2,1,0.7034312689400556,0.7205,0.7214917730806704,0.7214917730806704
L3,tfidf,3,1,0.7073028072716951,0.7135,0.7126127792030367,0.7126127792030366
L3,tfidf,4,1,0.7072681878697443,0.7085,0.7085972580209727,0.7085972580209727
L3,tfidf,5,1,0.707473346343149,0.732,0.7321452423098955,0.7321452423098954
L3,tfidf,6,1,0.7050953220878152,0.718,0.7143043174407575,0.7143043174407575
L3,tfidf,7,1,0.7061028705781042,0.722,0.7210513091776866,0.7210513091776868
L3,tfidf,8,1,0.7036099200365697,0.719,0.7184883983757215,0.7184883983757214
L3,tfidf,9,1,0.7061061360518571,0.7045,0.7048105224329151,0.7048105224329152
L3,tfidf,10,1,0.7062350972911622,0.7115,0.713420479647281,0.7134204796472813
L3,tfidf_pos,1,1,0.7095398659879413,0.714,0.7154964692220154,0.7154964692220154
L3,tfidf_pos,2,1,0.707631186725068,0.73,0.7306637270176733,0.7306637270176733
L3,tfidf_pos,3,1,0.7096889232792862,0.71,0.7090953122819925,0.7090953122819923
L3,tfidf_pos,4,1,0.7098637343884632,0.7115,0.7124401175653422,0.7124401175653421
L3,tfidf_pos,5,1,0.7119685369992954,0.7365,0.7366564631607774,0.7366564631607774
L3,tfidf_pos,6,1,0.7086870990925247,0.7205,0.7181961467427398,0.7181961467427399
L3,tfidf_pos,7,1,0.708434453909724,0.729,0.7277248993525487,0.7277248993525486
L3,tfidf_pos,8,1,0.7052592562617838,0.7325,0.7321674803150144,0.7321674803150144
L3,tfidf_pos,9,1,0.7087783287212273,0.712,0.7125242320442566,0.7125242320442566
L3,tfidf_pos,10,1,0.708534386239116,0.712,0.71389659043733,0.7138965904373299
L4,tfidf,1,1,0.7260138866093954,0.7225,0.7229263410670194,0.7229263410670191
L4,tfidf,2,1,0.7206878022815585,0.7505,0.7508494987219035,0.7508494987219037
L4,tfidf,3,1,0.7235874896808534,0.7245,0.7235181947886065,0.7235181947886065
L4,tfidf,4,1,0.72771291110059,0.73,0.7294382399010032,0.7294382399010032
L4,tfidf,5,1,0.7247120368289149,0.7445,0.7434335141998607,0.7434335141998606
L4,tfidf,6,1,0.7232657859832982,0.73,0.7266619488459372,0.7266619488459372
L4,tfidf,7,1,0.7221048760641677,0.7475,0.7458335794100737,0.7458335794100737
L4,tfidf,8,1,0.7215676036478177,0.742,0.7419597324498797,0.7419597324498798
L4,tfidf,9,1,0.7238022860820609,0.7305,0.7290640909792083,0.7290640909792083
L4,tfidf,10,1,0.7215907533578728,0.734,0.7353371607362178,0.7353371607362179
