context_level,algorithm,representation,outer_fold,best_hyperparameter_name,best_hyperparameter,inner_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,1,hidden_dim,256,0.5476388076131986,0.5735,0.571640489723275,0.5716404897232749
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,2,hidden_dim,384,0.5407047139540432,0.5655,0.5644705896378539,0.5644705896378537
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,3,hidden_dim,128,0.5490754980691283,0.555,0.549089108767545,0.5490891087675451
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,4,hidden_dim,384,0.5508265414571393,0.5495,0.5522219152674499,0.5522219152674499
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,5,hidden_dim,256,0.5450494721425115,0.5695,0.5632234236269711,0.5632234236269711
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,6,hidden_dim,384,0.5551287915188235,0.5585,0.5591701910027295,0.5591701910027296
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,7,hidden_dim,384,0.5409259758714096,0.5535,0.5407281382504359,0.540728138250436
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,8,hidden_dim,256,0.5452642518690981,0.566,0.5620923494333951,0.5620923494333951
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,9,hidden_dim,384,0.5493872953492657,0.5635,0.5638116035917417,0.5638116035917417
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,10,hidden_dim,384,0.5454383039574904,0.557,0.549240710849376,0.549240710849376
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,1,hidden_dim,256,0.6797674017666436,0.6845,0.6845615724638143,0.6845615724638144
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,2,hidden_dim,384,0.679332262421542,0.7035,0.6916088000509398,0.6916088000509397
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,3,hidden_dim,128,0.679559060465964,0.685,0.6830266983721217,0.6830266983721216
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,4,hidden_dim,256,0.6811220758015463,0.681,0.6814751862347228,0.6814751862347228
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,5,hidden_dim,256,0.6798672194142007,0.703,0.6998462587355054,0.6998462587355054
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,6,hidden_dim,384,0.6796386988432396,0.6945,0.6901713106509402,0.6901713106509401
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,7,hidden_dim,384,0.6745959327789076,0.684,0.6686318674678355,0.6686318674678358
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,8,hidden_dim,256,0.6732861749633896,0.696,0.6922343313141077,0.6922343313141077
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,9,hidden_dim,384,0.6814892566657709,0.6995,0.6977133776962546,0.6977133776962545
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,10,hidden_dim,256,0.6780789656989509,0.6965,0.694734347707451,0.694734347707451
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,1,hidden_dim,256,0.7092475037310028,0.7285,0.7241473252533199,0.7241473252533196
