context_level,model,outer_fold,best_hidden_dim,inner_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1
L1,bilstm_word2vec,1,128,0.09293979695220363,0.224,0.14749232656984973,0.14749232656984973
L1,bilstm_word2vec,2,256,0.1282248807401303,0.2605,0.2344517922418375,0.23445179224183743
L1,bilstm_word2vec,3,256,0.11043317385685414,0.268,0.22699175098328334,0.22699175098328334
L1,bilstm_word2vec,4,256,0.10967343174278388,0.215,0.15448533839029271,0.15448533839029274
L1,bilstm_word2vec,5,128,0.1138009154439062,0.23,0.18777415789747037,0.18777415789747037
L1,bilstm_word2vec,6,256,0.13279630922693608,0.24,0.19755457318122294,0.1975545731812229
L1,bilstm_word2vec,7,256,0.10681962559136376,0.2605,0.20454686884112863,0.20454686884112866
L1,bilstm_word2vec,8,128,0.10579421124700628,0.221,0.18226728617430085,0.18226728617430085
L1,bilstm_word2vec,9,128,0.10868518255515218,0.2165,0.12313861981816192,0.12313861981816192
L1,bilstm_word2vec,10,256,0.11431242415973349,0.2735,0.218483261483207,0.21848326148320688
L2,bilstm_word2vec,1,256,0.25845324962076116,0.393,0.3806142941426673,0.38061429414266734
L2,bilstm_word2vec,2,256,0.2870172436934094,0.3745,0.35138355775667074,0.35138355775667074
L2,bilstm_word2vec,3,256,0.26887117068679184,0.3585,0.32974472731470705,0.3297447273147071
L2,bilstm_word2vec,4,256,0.2801053468805504,0.381,0.36442953693436775,0.36442953693436775
L2,bilstm_word2vec,5,256,0.28915854462347873,0.3195,0.2792732305640517,0.2792732305640517
L2,bilstm_word2vec,6,128,0.2329728926933746,0.3035,0.2775100492120933,0.27751004921209327
L2,bilstm_word2vec,7,256,0.27999995528854876,0.351,0.31928003206801675,0.31928003206801675
L2,bilstm_word2vec,8,256,0.23536663552415985,0.3805,0.3677917029536839,0.36779170295368385
L2,bilstm_word2vec,9,256,0.2428113051152748,0.3465,0.31947374413833435,0.31947374413833435
L2,bilstm_word2vec,10,256,0.233352054220101,0.3145,0.2651499699811597,0.2651499699811597
L3,bilstm_word2vec,1,128,0.33716345402475884,0.452,0.43160485106548013,0.43160485106548013
L3,bilstm_word2vec,2,128,0.33624240833914065,0.4325,0.40493095542869273,0.4049309554286928
L3,bilstm_word2vec,3,64,0.34055520256537597,0.5165,0.5037022379402647,0.5037022379402646
L3,bilstm_word2vec,4,128,0.34732365723903574,0.4065,0.37977810350504476,0.37977810350504476
L3,bilstm_word2vec,5,64,0.34230287551557614,0.462,0.4352411446270398,0.4352411446270397
L3,bilstm_word2vec,6,128,0.35135544140422087,0.4715,0.45773365035183244,0.45773365035183233
L3,bilstm_word2vec,7,128,0.3396812988556543,0.4425,0.428009115727768,0.42800911572776806
L3,bilstm_word2vec,8,128,0.36448675617078535,0.4845,0.46566488199752565,0.46566488199752554
L3,bilstm_word2vec,9,64,0.3135755558558139,0.423,0.4027123437806147,0.4027123437806147
L3,bilstm_word2vec,10,64,0.3232721666558858,0.4535,0.44216528742099015,0.44216528742099015
L4,bilstm_word2vec,1,128,0.4116325145405568,0.5355,0.5163158241211416,0.5163158241211416
L4,bilstm_word2vec,2,64,0.39138667251007614,0.496,0.48833288160326127,0.48833288160326116
L4,bilstm_word2vec,3,64,0.35570607904880375,0.4235,0.40758422999181176,0.40758422999181176
L4,bilstm_word2vec,4,64,0.37925545937522626,0.5065,0.49948434352198784,0.49948434352198773
L4,bilstm_word2vec,5,64,0.4003947144857949,0.5595,0.5543121160287835,0.5543121160287833
L4,bilstm_word2vec,6,64,0.3669463247989671,0.5215,0.5087931771537086,0.5087931771537088
L4,bilstm_word2vec,7,64,0.3613647391254535,0.4755,0.4578189336405026,0.4578189336405025
L4,bilstm_word2vec,8,64,0.3791676026834905,0.493,0.47772792825291105,0.47772792825291105
L4,bilstm_word2vec,9,128,0.3679241102704373,0.475,0.47114499283811123,0.47114499283811123
L4,bilstm_word2vec,10,64,0.35994481383655047,0.5095,0.507877749386199,0.5078777493861989
