context_level,model,outer_fold,label,f1
L1,bilstm_word2vec,1,0,0.334051724137931
L1,bilstm_word2vec,1,1,0.24041811846689898
L1,bilstm_word2vec,1,2,0.06569343065693431
L1,bilstm_word2vec,1,3,0.32929782082324455
L1,bilstm_word2vec,1,4,0.0
L1,bilstm_word2vec,1,5,0.08602150537634409
L1,bilstm_word2vec,1,6,0.37845705967976717
L1,bilstm_word2vec,1,7,0.0
L1,bilstm_word2vec,1,8,0.040983606557377046
L1,bilstm_word2vec,1,9,0.0
L1,bilstm_word2vec,2,0,0.38248175182481753
L1,bilstm_word2vec,2,1,0.24369747899159663
L1,bilstm_word2vec,2,2,0.11522633744855969
L1,bilstm_word2vec,2,3,0.4113110539845758
L1,bilstm_word2vec,2,4,0.26666666666666666
L1,bilstm_word2vec,2,5,0.16417910447761194
L1,bilstm_word2vec,2,6,0.4352078239608802
L1,bilstm_word2vec,2,7,0.06818181818181818
L1,bilstm_word2vec,2,8,0.12727272727272726
L1,bilstm_word2vec,2,9,0.13029315960912052
L1,bilstm_word2vec,3,0,0.38095238095238104
L1,bilstm_word2vec,3,1,0.0
L1,bilstm_word2vec,3,2,0.08108108108108109
L1,bilstm_word2vec,3,3,0.30964467005076146
L1,bilstm_word2vec,3,4,0.2377622377622378
L1,bilstm_word2vec,3,5,0.054794520547945195
L1,bilstm_word2vec,3,6,0.45848375451263534
L1,bilstm_word2vec,3,7,0.3042071197411003
L1,bilstm_word2vec,3,8,0.2865671641791045
L1,bilstm_word2vec,3,9,0.1564245810055866
L1,bilstm_word2vec,4,0,0.028301886792452827
L1,bilstm_word2vec,4,1,0.28719275549805956
L1,bilstm_word2vec,4,2,0.3539823008849557
L1,bilstm_word2vec,4,3,0.056872037914691934
L1,bilstm_word2vec,4,4,0.30615640599001664
L1,bilstm_word2vec,4,5,0.03652968036529681
L1,bilstm_word2vec,4,6,0.0196078431372549
L1,bilstm_word2vec,4,7,0.185929648241206
L1,bilstm_word2vec,4,8,0.06504065040650407
L1,bilstm_word2vec,4,9,0.20524017467248906
L1,bilstm_word2vec,5,0,0.3387622149837134
L1,bilstm_word2vec,5,1,0.1568627450980392
L1,bilstm_word2vec,5,2,0.00980392156862745
L1,bilstm_word2vec,5,3,0.33333333333333337
L1,bilstm_word2vec,5,4,0.13099041533546324
L1,bilstm_word2vec,5,5,0.0
L1,bilstm_word2vec,5,6,0.4041604754829123
L1,bilstm_word2vec,5,7,0.2236024844720497
L1,bilstm_word2vec,5,8,0.280225988700565
L1,bilstm_word2vec,5,9,0.0
L1,bilstm_word2vec,6,0,0.36481241914618373
L1,bilstm_word2vec,6,1,0.24431818181818182
L1,bilstm_word2vec,6,2,0.09811320754716982
L1,bilstm_word2vec,6,3,0.2877697841726619
L1,bilstm_word2vec,6,4,0.05555555555555555
L1,bilstm_word2vec,6,5,0.1851106639839034
L1,bilstm_word2vec,6,6,0.401883830455259
L1,bilstm_word2vec,6,7,0.047619047619047616
L1,bilstm_word2vec,6,8,0.21545667447306793
L1,bilstm_word2vec,6,9,0.0749063670411985
L1,bilstm_word2vec,7,0,0.4096045197740113
L1,bilstm_word2vec,7,1,0.125
L1,bilstm_word2vec,7,2,0.17142857142857143
L1,bilstm_word2vec,7,3,0.4201183431952662
L1,bilstm_word2vec,7,4,0.11464968152866241
L1,bilstm_word2vec,7,5,0.07692307692307691
L1,bilstm_word2vec,7,6,0.3755215577190542
L1,bilstm_word2vec,7,7,0.009708737864077669
L1,bilstm_word2vec,7,8,0.3056478405315615
L1,bilstm_word2vec,7,9,0.03686635944700461
L1,bilstm_word2vec,8,0,0.34467120181405897
L1,bilstm_word2vec,8,1,0.0
L1,bilstm_word2vec,8,2,0.2560706401766004
L1,bilstm_word2vec,8,3,0.3163841807909605
L1,bilstm_word2vec,8,4,0.28054298642533937
L1,bilstm_word2vec,8,5,0.26497695852534564
L1,bilstm_word2vec,8,6,0.019417475728155338
L1,bilstm_word2vec,8,7,0.20210526315789473
L1,bilstm_word2vec,8,8,0.0
L1,bilstm_word2vec,8,9,0.13850415512465375
L1,bilstm_word2vec,9,0,0.29141716566866266
L1,bilstm_word2vec,9,1,0.0
