context_level,outer_fold,class_0_f1,class_1_f1,class_2_f1,class_3_f1,class_4_f1,class_5_f1,class_6_f1,class_7_f1,class_8_f1,class_9_f1
L3,0,0.8325123152709358,0.6504854368932038,0.8522167487684729,0.8963730569948186,0.8995215311004784,0.8253164556962025,0.8816120906801008,0.8512820512820513,0.6233766233766234,0.780246913580247
L3,1,0.8571428571428571,0.6508313539192399,0.8370927318295739,0.8987654320987655,0.886138613861386,0.8300970873786407,0.8840579710144928,0.8375634517766498,0.598901098901099,0.7821522309711286
L3,2,0.8316831683168315,0.6225490196078431,0.8627450980392156,0.8934010152284264,0.877450980392157,0.8571428571428571,0.892156862745098,0.8571428571428571,0.6227848101265823,0.796875
L3,3,0.839622641509434,0.6376146788990826,0.8721804511278195,0.9014778325123154,0.9004975124378108,0.8431372549019608,0.9002557544757034,0.8298969072164949,0.6043956043956045,0.7905759162303665
L3,4,0.86810551558753,0.6732186732186732,0.874074074074074,0.9090909090909091,0.9108910891089109,0.8391959798994975,0.9004975124378108,0.8673469387755102,0.6786632390745502,0.7692307692307692
L3,5,0.8177083333333334,0.6573426573426573,0.8634146341463415,0.8960396039603961,0.875,0.7950617283950618,0.88,0.8571428571428571,0.6046511627906977,0.8282828282828283
L3,6,0.8282828282828283,0.6127450980392157,0.8822055137844611,0.9185185185185186,0.905,0.8221153846153847,0.8933002481389578,0.8442211055276383,0.6233062330623307,0.788177339901478
L3,7,0.8396946564885495,0.6063348416289593,0.8689320388349514,0.9113924050632911,0.8883248730964467,0.8240963855421686,0.8938271604938272,0.87,0.5480225988700564,0.7538461538461538
L3,8,0.8578680203045685,0.6893424036281179,0.86810551558753,0.8934010152284264,0.8960396039603961,0.8542713567839195,0.912280701754386,0.8380462724935733,0.6391184573002754,0.8329177057356607
L3,9,0.8383838383838385,0.6713947990543735,0.8592592592592593,0.8820512820512821,0.8682170542635659,0.835820895522388,0.8816120906801008,0.8505154639175257,0.6565656565656566,0.7836538461538461
