context_level,representation,outer_fold,best_lr,best_inner_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1,lr_scores_json
L2,deberta_base_finetune_bs32_fp32,0,5e-05,0.7596954451484977,0.76,0.7592384344400431,0.7592384344400431,"{""2e-05"": 0.756664277107857, ""5e-05"": 0.7596954451484977, ""8e-05"": 0.7558560650527469}"
L2,deberta_base_finetune_bs32_fp32,1,2e-05,0.7574942672874038,0.774,0.7741423984269986,0.7741423984269986,"{""2e-05"": 0.7574942672874038, ""5e-05"": 0.7572470578918802, ""8e-05"": 0.7553737160642165}"
L2,deberta_base_finetune_bs32_fp32,2,5e-05,0.7618198464071186,0.7685,0.7690841298195477,0.7690841298195475,"{""2e-05"": 0.7561771333830337, ""5e-05"": 0.7618198464071186, ""8e-05"": 0.7561096907497973}"
L2,deberta_base_finetune_bs32_fp32,3,5e-05,0.7595250657185098,0.76,0.7595345827049346,0.7595345827049346,"{""2e-05"": 0.7578172592980149, ""5e-05"": 0.7595250657185098, ""8e-05"": 0.7542098236216548}"
L2,deberta_base_finetune_bs32_fp32,4,5e-05,0.7604828781492478,0.774,0.7746587719519176,0.7746587719519176,"{""2e-05"": 0.7539896750976709, ""5e-05"": 0.7604828781492478, ""8e-05"": 0.7533603624594384}"
L2,deberta_base_finetune_bs32_fp32,5,5e-05,0.7604943060916005,0.754,0.7547997600793916,0.7547997600793916,"{""2e-05"": 0.760088303919642, ""5e-05"": 0.7604943060916005, ""8e-05"": 0.7551219809546446}"
L2,deberta_base_finetune_bs32_fp32,6,2e-05,0.7587983435112061,0.759,0.7589220903115506,0.7589220903115504,"{""2e-05"": 0.7587983435112061, ""5e-05"": 0.7587703370990164, ""8e-05"": 0.758174362904338}"
L2,deberta_base_finetune_bs32_fp32,7,5e-05,0.7578012150146965,0.777,0.7756942181560997,0.7756942181560997,"{""2e-05"": 0.7542415677046765, ""5e-05"": 0.7578012150146965, ""8e-05"": 0.7567327952212178}"
L2,deberta_base_finetune_bs32_fp32,8,5e-05,0.7616089256017454,0.789,0.7886955888176029,0.7886955888176028,"{""2e-05"": 0.7539112403723401, ""5e-05"": 0.7616089256017454, ""8e-05"": 0.7547951813496891}"
L2,deberta_base_finetune_bs32_fp32,9,5e-05,0.7583112278390792,0.7585,0.7585236960999773,0.7585236960999774,"{""2e-05"": 0.757112338364561, ""5e-05"": 0.7583112278390792, ""8e-05"": 0.7556012320629385}"
