context_level,representation,outer_fold,label,f1
L1,bert,1,0,0.6714975845410629
L1,bert,1,1,0.4051282051282052
L1,bert,1,2,0.6265060240963854
L1,bert,1,3,0.6933333333333334
L1,bert,1,4,0.6683046683046684
L1,bert,1,5,0.5012285012285013
L1,bert,1,6,0.7438423645320198
L1,bert,1,7,0.49489795918367346
L1,bert,1,8,0.3979057591623037
L1,bert,1,9,0.5388349514563107
L1,bert,2,0,0.6403940886699507
L1,bert,2,1,0.40481927710843374
L1,bert,2,2,0.6176470588235293
L1,bert,2,3,0.682051282051282
L1,bert,2,4,0.6618357487922707
L1,bert,2,5,0.544987146529563
L1,bert,2,6,0.74
L1,bert,2,7,0.519280205655527
L1,bert,2,8,0.36049382716049383
L1,bert,2,9,0.5468750000000001
L1,bert,3,0,0.6763990267639903
L1,bert,3,1,0.3759398496240602
L1,bert,3,2,0.5641025641025641
L1,bert,3,3,0.6493506493506493
L1,bert,3,4,0.6354679802955666
L1,bert,3,5,0.583756345177665
L1,bert,3,6,0.7630331753554502
L1,bert,3,7,0.49025069637883006
L1,bert,3,8,0.32458233890214794
L1,bert,3,9,0.526595744680851
L1,bert,4,0,0.6451612903225806
L1,bert,4,1,0.3663366336633664
L1,bert,4,2,0.6511627906976744
L1,bert,4,3,0.6717557251908398
L1,bert,4,4,0.6384039900249376
L1,bert,4,5,0.5533980582524272
L1,bert,4,6,0.7469287469287471
L1,bert,4,7,0.4931506849315069
L1,bert,4,8,0.32569974554707376
L1,bert,4,9,0.5459183673469388
L1,bert,5,0,0.6507177033492824
L1,bert,5,1,0.4267352185089974
L1,bert,5,2,0.5913461538461537
L1,bert,5,3,0.6583541147132169
L1,bert,5,4,0.6871794871794872
L1,bert,5,5,0.5801526717557252
L1,bert,5,6,0.7692307692307692
L1,bert,5,7,0.46486486486486484
L1,bert,5,8,0.46489104116222757
L1,bert,5,9,0.583756345177665
L1,bert,6,0,0.6585365853658537
L1,bert,6,1,0.36082474226804123
L1,bert,6,2,0.642512077294686
L1,bert,6,3,0.6666666666666666
L1,bert,6,4,0.674698795180723
L1,bert,6,5,0.5306122448979592
L1,bert,6,6,0.7349081364829396
L1,bert,6,7,0.5295629820051414
L1,bert,6,8,0.3864734299516908
L1,bert,6,9,0.5586034912718204
L1,bert,7,0,0.6210045662100457
L1,bert,7,1,0.37810945273631846
L1,bert,7,2,0.6074074074074075
L1,bert,7,3,0.668421052631579
L1,bert,7,4,0.681704260651629
L1,bert,7,5,0.5154639175257731
L1,bert,7,6,0.7047146401985112
L1,bert,7,7,0.5463917525773196
L1,bert,7,8,0.35323383084577115
L1,bert,7,9,0.5316455696202531
L1,bert,8,0,0.6750629722921915
L1,bert,8,1,0.401015228426396
L1,bert,8,2,0.6264501160092807
L1,bert,8,3,0.6786632390745502
L1,bert,8,4,0.6347607052896725
L1,bert,8,5,0.5648854961832063
