context_level,representation,outer_fold,best_lr,best_inner_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1,lr_scores_json
L2,deberta_base_finetune,0,2e-05,0.756664277107857,0.7475,0.7474555564031041,0.747455556403104,"{""5e-06"": 0.7194166288100691, ""1e-05"": 0.741997292111665, ""2e-05"": 0.756664277107857}"
L2,deberta_base_finetune,1,2e-05,0.7574942672874038,0.774,0.7741423984269986,0.7741423984269986,"{""5e-06"": 0.7194573765426039, ""1e-05"": 0.7425739400376926, ""2e-05"": 0.7574942672874038}"
L2,deberta_base_finetune,2,2e-05,0.7561771333830337,0.773,0.7735016765412895,0.7735016765412895,"{""5e-06"": 0.7179009687018897, ""1e-05"": 0.7413617711748307, ""2e-05"": 0.7561771333830337}"
L2,deberta_base_finetune,3,2e-05,0.7578172592980149,0.765,0.7642356989046416,0.7642356989046416,"{""5e-06"": 0.7180109170497221, ""1e-05"": 0.7420960255089367, ""2e-05"": 0.7578172592980149}"
L2,deberta_base_finetune,4,2e-05,0.7539896750976709,0.771,0.7717352444330453,0.7717352444330453,"{""5e-06"": 0.7190958029768161, ""1e-05"": 0.7399832641361584, ""2e-05"": 0.7539896750976709}"
L2,deberta_base_finetune,5,2e-05,0.760088303919642,0.757,0.7581419858304554,0.7581419858304553,"{""5e-06"": 0.7178429553779974, ""1e-05"": 0.7402077097339053, ""2e-05"": 0.760088303919642}"
L2,deberta_base_finetune,6,2e-05,0.7587983435112061,0.759,0.7589220903115506,0.7589220903115504,"{""5e-06"": 0.7214843970891797, ""1e-05"": 0.7422279046556589, ""2e-05"": 0.7587983435112061}"
L2,deberta_base_finetune,7,2e-05,0.7542415677046765,0.7795,0.7779966417217805,0.7779966417217805,"{""5e-06"": 0.7175068257523161, ""1e-05"": 0.738763922413944, ""2e-05"": 0.7542415677046765}"
L2,deberta_base_finetune,8,2e-05,0.7539112403723401,0.7865,0.7864119041900112,0.7864119041900112,"{""5e-06"": 0.714162796376903, ""1e-05"": 0.7349463350077761, ""2e-05"": 0.7539112403723401}"
L2,deberta_base_finetune,9,2e-05,0.757112338364561,0.768,0.7690491355129281,0.7690491355129282,"{""5e-06"": 0.7169870716816078, ""1e-05"": 0.7389022700825351, ""2e-05"": 0.757112338364561}"
