context_level,outer_fold,class_0_f1,class_1_f1,class_2_f1,class_3_f1,class_4_f1,class_5_f1,class_6_f1,class_7_f1,class_8_f1,class_9_f1
L4,0,0.858560794044665,0.6928746928746928,0.8571428571428571,0.9141414141414141,0.8943488943488944,0.8512820512820513,0.8937198067632851,0.8704663212435233,0.6337662337662338,0.7980295566502462
L4,1,0.880195599022005,0.6682692307692307,0.8663366336633663,0.9246231155778895,0.9017632241813602,0.8431372549019608,0.8970588235294118,0.8781725888324873,0.633245382585752,0.8113695090439277
L4,2,0.8725490196078431,0.6650602409638553,0.887780548628429,0.905852417302799,0.8872180451127819,0.8722891566265061,0.9181141439205954,0.8791773778920309,0.6565656565656566,0.8031496062992125
L4,3,0.8461538461538461,0.6586538461538463,0.8826530612244896,0.8933002481389578,0.9154228855721394,0.873170731707317,0.918781725888325,0.8686868686868686,0.6246719160104987,0.805128205128205
L4,4,0.8840579710144928,0.702439024390244,0.8762376237623763,0.9045226130653266,0.93734335839599,0.8792270531400966,0.9330024813895781,0.8911917098445595,0.682051282051282,0.8062827225130889
L4,5,0.8250652741514359,0.6403940886699507,0.8634146341463415,0.93,0.8753056234718828,0.8317307692307693,0.8967254408060454,0.8671679197994988,0.609375,0.8131313131313131
L4,6,0.8442211055276383,0.6870229007633588,0.8787878787878789,0.9257425742574258,0.9211822660098523,0.8480392156862744,0.8943488943488944,0.8693467336683417,0.6578249336870027,0.818401937046005
L4,7,0.8708860759493672,0.6822429906542056,0.9059405940594061,0.9223057644110277,0.9012658227848102,0.8564593301435406,0.9007263922518159,0.8706467661691543,0.5872576177285319,0.825974025974026
L4,8,0.8826530612244896,0.7442922374429224,0.88,0.9141414141414141,0.9144254278728606,0.8686868686868686,0.9238578680203046,0.8668407310704961,0.6756756756756757,0.8463476070528968
L4,9,0.8651399491094147,0.7090464547677262,0.85995085995086,0.9076923076923077,0.8781725888324873,0.8753056234718828,0.8928571428571429,0.8688946015424165,0.6884422110552764,0.8210023866348448
