context_level,representation,outer_fold,best_lr,best_inner_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1,lr_scores_json
L4,deberta_base_finetune_bs32_fp32,0,2e-05,0.8242250988962496,0.827,0.8264332622257863,0.8264332622257862,"{""1e-05"": 0.8112602756882996, ""2e-05"": 0.8242250988962496, ""5e-05"": 0.8242067691844573}"
L4,deberta_base_finetune_bs32_fp32,1,5e-05,0.8238502041754133,0.838,0.8373717197964125,0.8373717197964126,"{""1e-05"": 0.8116214827508134, ""2e-05"": 0.8224544694726829, ""5e-05"": 0.8238502041754133}"
L4,deberta_base_finetune_bs32_fp32,2,5e-05,0.8261325563078866,0.841,0.8414466397715762,0.8414466397715761,"{""1e-05"": 0.8095285764298618, ""2e-05"": 0.8205486356526123, ""5e-05"": 0.8261325563078866}"
L4,deberta_base_finetune_bs32_fp32,3,5e-05,0.8243586379619742,0.8315,0.8312951479255977,0.8312951479255977,"{""1e-05"": 0.8139140868277012, ""2e-05"": 0.8218788216730601, ""5e-05"": 0.8243586379619742}"
L4,deberta_base_finetune_bs32_fp32,4,5e-05,0.824887716058739,0.843,0.8427648363314155,0.8427648363314156,"{""1e-05"": 0.803161133171964, ""2e-05"": 0.817211563266851, ""5e-05"": 0.824887716058739}"
L4,deberta_base_finetune_bs32_fp32,5,5e-05,0.8276949266552537,0.826,0.8254540856681876,0.8254540856681877,"{""1e-05"": 0.809449488490369, ""2e-05"": 0.8257335188398223, ""5e-05"": 0.8276949266552537}"
L4,deberta_base_finetune_bs32_fp32,6,5e-05,0.8239267457659007,0.834,0.8325095722623267,0.8325095722623266,"{""1e-05"": 0.8123685062794318, ""2e-05"": 0.8234171020399471, ""5e-05"": 0.8239267457659007}"
L4,deberta_base_finetune_bs32_fp32,7,5e-05,0.8312739440349523,0.8415,0.8403036016272987,0.8403036016272987,"{""1e-05"": 0.8103077749859239, ""2e-05"": 0.8237733976856534, ""5e-05"": 0.8312739440349523}"
L4,deberta_base_finetune_bs32_fp32,8,5e-05,0.8262085692672989,0.8435,0.8433388208145279,0.843338820814528,"{""1e-05"": 0.8080757379132489, ""2e-05"": 0.8185950322983068, ""5e-05"": 0.8262085692672989}"
L4,deberta_base_finetune_bs32_fp32,9,5e-05,0.8226963080547529,0.832,0.8328609164072528,0.8328609164072529,"{""1e-05"": 0.8073292695683966, ""2e-05"": 0.8193043514287428, ""5e-05"": 0.8226963080547529}"
