context_level,representation,outer_fold,best_C,inner_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1
L1,bert,1,0.1,0.5645149628519577,0.5755,0.5741479350966464,0.5741479350966464
L1,bert,2,0.1,0.5647212383827541,0.5715,0.571838363479105,0.5718383634791051
L1,bert,3,0.1,0.5633194896391832,0.56,0.5589478370631775,0.5589478370631774
L1,bert,4,0.1,0.5612689787785503,0.5655,0.5637916032906094,0.5637916032906093
L1,bert,5,0.1,0.5624436577218949,0.5895,0.5877228369788389,0.5877228369788388
L1,bert,6,0.1,0.5618129487532102,0.5745,0.5743399151385522,0.5743399151385522
L1,bert,7,0.1,0.5630789057794251,0.561,0.5608096450404607,0.5608096450404608
L1,bert,8,0.1,0.5618923940153862,0.5825,0.5817721873458039,0.5817721873458039
L1,bert,9,0.1,0.561444950552033,0.573,0.5730795551824059,0.5730795551824058
L1,bert,10,0.1,0.5630099707952959,0.5575,0.5573368163161283,0.5573368163161284
L2,bert,1,0.1,0.69820724186576,0.6965,0.6956555664026252,0.695655566402625
L2,bert,2,0.1,0.6952845872449472,0.7215,0.7211223750974344,0.7211223750974343
L2,bert,3,0.1,0.6956936425985987,0.699,0.6979155529839182,0.6979155529839184
L2,bert,4,0.1,0.6958644553842223,0.7015,0.700700675422887,0.700700675422887
L2,bert,5,0.1,0.6940633859503972,0.713,0.711676013663189,0.711676013663189
L2,bert,6,0.1,0.6973056278758915,0.6895,0.6872006675730787,0.6872006675730787
L2,bert,7,0.1,0.6924607855760342,0.702,0.7008990553162883,0.7008990553162885
L2,bert,8,0.1,0.6960797067351715,0.7075,0.7066668171096491,0.706666817109649
L2,bert,9,0.1,0.6949240847004551,0.707,0.7051276635020407,0.7051276635020407
L2,bert,10,0.1,0.6956331552711753,0.6965,0.696381388150048,0.696381388150048
L3,bert,1,0.1,0.7275434685514117,0.738,0.7364400606746381,0.7364400606746382
L3,bert,2,0.1,0.7270837392748642,0.743,0.7431209756844309,0.7431209756844307
L3,bert,3,0.1,0.7264787145894397,0.719,0.7152990132824557,0.7152990132824556
L3,bert,4,0.1,0.7264652644654405,0.7365,0.7353803569731736,0.7353803569731736
L3,bert,5,0.1,0.7258094748087333,0.735,0.7347009043225589,0.7347009043225587
L3,bert,6,0.1,0.7293397035440045,0.7225,0.7206565151807315,0.7206565151807313
L3,bert,7,0.1,0.7279875909878305,0.742,0.7405419014045821,0.7405419014045822
L3,bert,8,0.1,0.7277626683761705,0.7255,0.7244999460790267,0.7244999460790266
L3,bert,9,0.1,0.7251811245498949,0.7395,0.7375999944114101,0.7375999944114101
L3,bert,10,0.1,0.7268463428339228,0.7335,0.7343230943726917,0.7343230943726918
L4,bert,1,0.1,0.743849455690439,0.749,0.7475549533688703,0.7475549533688703
L4,bert,2,0.1,0.7419155229519842,0.755,0.7534392019990042,0.7534392019990042
L4,bert,3,0.1,0.7450548192678799,0.7275,0.7250337695471742,0.7250337695471744
L4,bert,4,0.1,0.7436117078812131,0.7525,0.7514211602233563,0.751421160223356
L4,bert,5,0.1,0.742680415707469,0.7655,0.7644637665908277,0.7644637665908276
L4,bert,6,0.1,0.7427043590349535,0.7555,0.7530441449645171,0.7530441449645171
L4,bert,7,0.1,0.7454692066469745,0.756,0.7555737405261457,0.7555737405261457
L4,bert,8,0.1,0.7446880349340254,0.7455,0.7440480702307064,0.7440480702307064
L4,bert,9,0.1,0.74343534404052,0.755,0.7534456328688461,0.7534456328688464
L4,bert,10,0.1,0.7438516036585279,0.7565,0.7563579162891394,0.7563579162891392
