context_level,representation,outer_fold,label,f1
L1,tfidf,1,0,0.6331658291457286
L1,tfidf,1,1,0.3585858585858586
L1,tfidf,1,2,0.5694444444444444
L1,tfidf,1,3,0.6507936507936508
L1,tfidf,1,4,0.6270783847980997
L1,tfidf,1,5,0.5572916666666667
L1,tfidf,1,6,0.7219512195121951
L1,tfidf,1,7,0.5891891891891893
L1,tfidf,1,8,0.35148514851485146
L1,tfidf,1,9,0.5307125307125307
L1,tfidf,2,0,0.6748166259168703
L1,tfidf,2,1,0.3972602739726028
L1,tfidf,2,2,0.5566502463054186
L1,tfidf,2,3,0.6786632390745502
L1,tfidf,2,4,0.6195121951219512
L1,tfidf,2,5,0.6118251928020566
L1,tfidf,2,6,0.7365853658536585
L1,tfidf,2,7,0.5674931129476584
L1,tfidf,2,8,0.3333333333333333
L1,tfidf,2,9,0.5291005291005291
L1,tfidf,3,0,0.661764705882353
L1,tfidf,3,1,0.4116222760290556
L1,tfidf,3,2,0.5626477541371158
L1,tfidf,3,3,0.6834170854271356
L1,tfidf,3,4,0.5885286783042393
L1,tfidf,3,5,0.5572916666666667
L1,tfidf,3,6,0.7464114832535885
L1,tfidf,3,7,0.5444444444444445
L1,tfidf,3,8,0.4038929440389294
L1,tfidf,3,9,0.49479166666666663
L1,tfidf,4,0,0.6616915422885572
L1,tfidf,4,1,0.3358024691358025
L1,tfidf,4,2,0.5901639344262295
L1,tfidf,4,3,0.6433915211970076
L1,tfidf,4,4,0.6341463414634146
L1,tfidf,4,5,0.5677749360613811
L1,tfidf,4,6,0.7352185089974294
L1,tfidf,4,7,0.518716577540107
L1,tfidf,4,8,0.3219512195121951
L1,tfidf,4,9,0.5063938618925832
L1,tfidf,5,0,0.6405867970660147
L1,tfidf,5,1,0.366412213740458
L1,tfidf,5,2,0.5276381909547739
L1,tfidf,5,3,0.6277372262773723
L1,tfidf,5,4,0.6615776081424936
L1,tfidf,5,5,0.5340314136125655
L1,tfidf,5,6,0.7259953161592505
L1,tfidf,5,7,0.5747126436781609
L1,tfidf,5,8,0.3952941176470588
L1,tfidf,5,9,0.5507246376811593
L1,tfidf,6,0,0.6339066339066338
L1,tfidf,6,1,0.3324396782841823
L1,tfidf,6,2,0.5986078886310904
L1,tfidf,6,3,0.6666666666666666
L1,tfidf,6,4,0.6178010471204188
L1,tfidf,6,5,0.5505050505050506
L1,tfidf,6,6,0.7007299270072993
L1,tfidf,6,7,0.5555555555555555
L1,tfidf,6,8,0.3087557603686636
L1,tfidf,6,9,0.5417721518987343
L1,tfidf,7,0,0.6539379474940334
L1,tfidf,7,1,0.37
L1,tfidf,7,2,0.5388349514563107
L1,tfidf,7,3,0.6683804627249358
L1,tfidf,7,4,0.6753246753246753
L1,tfidf,7,5,0.5563909774436091
L1,tfidf,7,6,0.6835443037974683
L1,tfidf,7,7,0.6052631578947367
L1,tfidf,7,8,0.3791469194312796
L1,tfidf,7,9,0.5463659147869675
L1,tfidf,8,0,0.6802030456852791
L1,tfidf,8,1,0.3856041131105399
L1,tfidf,8,2,0.5586854460093896
L1,tfidf,8,3,0.6701298701298701
L1,tfidf,8,4,0.595
L1,tfidf,8,5,0.5304136253041363
L1,tfidf,8,6,0.7016706443914082
L1,tfidf,8,7,0.6145833333333333
L1,tfidf,8,8,0.3535353535353536
L1,tfidf,8,9,0.494949494949495
L1,tfidf,9,0,0.6632124352331608
L1,tfidf,9,1,0.4059405940594059
L1,tfidf,9,2,0.5907990314769976
L1,tfidf,9,3,0.6938775510204083
L1,tfidf,9,4,0.6326034063260341
L1,tfidf,9,5,0.5586034912718204
L1,tfidf,9,6,0.7174447174447175
L1,tfidf,9,7,0.5577889447236181
L1,tfidf,9,8,0.31876606683804626
L1,tfidf,9,9,0.5664160401002505
L1,tfidf,10,0,0.6384039900249376
L1,tfidf,10,1,0.39902676399026765
L1,tfidf,10,2,0.5645933014354066
L1,tfidf,10,3,0.6918918918918918
L1,tfidf,10,4,0.6331658291457286
L1,tfidf,10,5,0.5829145728643216
L1,tfidf,10,6,0.6943005181347149
L1,tfidf,10,7,0.6091370558375634
L1,tfidf,10,8,0.36496350364963503
L1,tfidf,10,9,0.5230024213075061
L1,tfidf_pos,1,0,0.6414141414141414
L1,tfidf_pos,1,1,0.375
L1,tfidf_pos,1,2,0.5910165484633569
L1,tfidf_pos,1,3,0.6631299734748011
L1,tfidf_pos,1,4,0.6367924528301886
L1,tfidf_pos,1,5,0.5412371134020618
L1,tfidf_pos,1,6,0.7121951219512195
L1,tfidf_pos,1,7,0.5822102425876011
L1,tfidf_pos,1,8,0.34567901234567905
L1,tfidf_pos,1,9,0.5369458128078819
L1,tfidf_pos,2,0,0.6585365853658537
